gid	species	contig_ct	vps-I_VIG_ct	vps-II_VIG_ct	rbm_genes
GCA_000878735	Vibrio parahaemolyticus	96	0	4	
GCA_000878755	Vibrio parahaemolyticus	75	0	4	
GCA_000878785	Vibrio parahaemolyticus	79	0	4	
GCA_000878805	Vibrio parahaemolyticus	58	0	4	
GCA_000878815	Vibrio parahaemolyticus	98	0	4	
GCA_000931495	Vibrio fluvialis	207	0	4	
GCA_000951795	Vibrio parahaemolyticus	138	0	4	
GCA_000958565	Vibrio parahaemolyticus	48	0	4	
GCA_000958575	Vibrio parahaemolyticus	65	0	4	
GCA_000958585	Vibrio parahaemolyticus	63	0	4	
GCA_000958595	Vibrio parahaemolyticus	111	0	4	
GCA_000958645	Vibrio parahaemolyticus	43	0	4	
GCA_000958655	Vibrio parahaemolyticus	91	0	4	
GCA_000959745	Vibrio vulnificus	140	0	4	
GCA_000959755	Vibrio vulnificus	110	0	4	
GCA_000959765	Vibrio vulnificus	118	0	4	
GCA_000959775	Vibrio vulnificus	144	2	4	
GCA_000959825	Vibrio vulnificus	134	0	4	
GCA_000959835	Vibrio vulnificus	59	0	4	rbmEF
GCA_000959845	Vibrio vulnificus	105	0	4	
GCA_000960125	Vibrio vulnificus	177	0	4	
GCA_000960425	Vibrio parahaemolyticus	203	0	4	
GCA_000960545	Vibrio parahaemolyticus	181	0	4	
GCA_000960565	Vibrio parahaemolyticus	85	2	4	
GCA_000960595	Vibrio sp000960595	475	2	2	
GCA_000960645	Vibrio parahaemolyticus	188	0	4	
GCA_000960655	Vibrio parahaemolyticus	155	0	4	
GCA_000960665	Vibrio parahaemolyticus	121	0	4	
GCA_000960685	Vibrio parahaemolyticus	115	0	4	
GCA_000962815	Vibrio diabolicus	40	0	4	
GCA_000967055	Vibrio vulnificus	140	0	4	
GCA_000967475	Vibrio nigripulchritudo	74	1	4	rbmD
GCA_000972025	Vibrio parahaemolyticus	49	0	4	
GCA_000972035	Vibrio parahaemolyticus	89	0	4	
GCA_000972045	Vibrio parahaemolyticus	88	0	4	
GCA_000972055	Vibrio parahaemolyticus	73	0	4	
GCA_000972105	Vibrio parahaemolyticus	76	0	4	
GCA_000972125	Vibrio parahaemolyticus	80	0	4	
GCA_000972265	Vibrio kanaloae	92	0	0	
GCA_000972275	Vibrio cyclitrophicus	68	0	0	
GCA_000974905	Vibrio parahaemolyticus	89	0	4	
GCA_000975195	Vibrio parahaemolyticus	85	0	4	
GCA_000983095	Vibrio coralliirubri	14	0	3	rbmD
GCA_001006105	Vibrio parahaemolyticus	155	0	4	
GCA_001006115	Vibrio parahaemolyticus	148	0	4	
GCA_001006125	Vibrio parahaemolyticus	128	0	4	
GCA_001006185	Vibrio parahaemolyticus	333	0	4	
GCA_001006195	Vibrio parahaemolyticus	197	0	4	
GCA_001006205	Vibrio parahaemolyticus	146	0	4	
GCA_001007525	Vibrio parahaemolyticus	246	2	4	
GCA_001007535	Vibrio parahaemolyticus	24	0	4	
GCA_001007545	Vibrio parahaemolyticus	39	0	4	
GCA_001010935	Vibrio diabolicus	33	0	4	
GCA_001011015	Vibrio parahaemolyticus	51	0	4	
GCA_001013315	Vibrio alginolyticus	68	3	4	
GCA_001013325	Vibrio vulnificus	76	1	4	
GCA_001013435	Vibrio parahaemolyticus	67	0	4	
GCA_001023055	Vibrio parahaemolyticus	30	0	4	
GCA_001023105	Vibrio parahaemolyticus	32	0	4	
GCA_001023125	Vibrio parahaemolyticus	39	3	4	
GCA_001023155	Vibrio parahaemolyticus	287	0	4	
GCA_001048475	Vibrio crassostreae	92	2	1	
GCA_001048495	Vibrio crassostreae	145	0	0	
GCA_001048515	Vibrio crassostreae	145	2	1	
GCA_001048535	Vibrio crassostreae	122	2	1	
GCA_001048555	Vibrio crassostreae	177	2	1	
GCA_001048575	Vibrio crassostreae	86	2	1	
GCA_001048595	Vibrio coralliirubri	69	0	0	
GCA_001048615	Vibrio coralliirubri	98	0	0	
GCA_001048635	Vibrio coralliirubri	63	0	0	rbmEF
GCA_001048655	Vibrio coralliirubri	117	1	4	
GCA_001048675	Vibrio diabolicus	29	0	4	rbmD
GCA_001050595	Vibrio nigripulchritudo	208	1	4	
GCA_001050615	Vibrio nigripulchritudo	120	1	4	
GCA_001050635	Vibrio nigripulchritudo	117	1	4	
GCA_001050655	Vibrio nigripulchritudo	168	1	4	
GCA_001050675	Vibrio nigripulchritudo	149	1	4	
GCA_001050695	Vibrio nigripulchritudo	122	1	4	
GCA_001050715	Vibrio nigripulchritudo	125	1	4	
GCA_001050875	Vibrio harveyi	95	0	4	
GCA_001185265	Vibrio campbellii	552	0	4	
GCA_001185275	Vibrio campbellii	724	0	4	
GCA_001185385	Vibrio campbellii	1330	0	4	
GCA_001185405	Vibrio harveyi	341	0	4	
GCA_001185455	Vibrio harveyi	1338	0	4	
GCA_001185465	Vibrio harveyi	1757	0	4	
GCA_001185495	Vibrio harveyi	877	0	4	rbmD
GCA_001185515	Vibrio campbellii	601	0	4	
GCA_001185545	Vibrio harveyi	1626	0	0	
GCA_001185575	Vibrio harveyi	563	0	4	
GCA_001185585	Vibrio harveyi	921	0	3	
GCA_001185645	Vibrio harveyi	765	0	4	
GCA_001188035	Vibrio parahaemolyticus	8	0	4	
GCA_001188135	Vibrio parahaemolyticus	4	0	4	
GCA_001188185	Vibrio parahaemolyticus	2	0	4	
GCA_001192695	Vibrio campbellii	42	0	4	
GCA_001238475	Vibrio cyclitrophicus	73	0	0	
GCA_001243385	Vibrio coralliirubri	254	0	0	
GCA_001243545	Vibrio coralliirubri	52	3	2	
GCA_001243675	Vibrio coralliirubri	82	0	0	
GCA_001243735	Vibrio coralliirubri	63	0	0	
GCA_001243825	Vibrio coralliirubri	155	3	3	rbmD
GCA_001244075	Vibrio coralliirubri	92	0	0	
GCA_001244175	Vibrio coralliirubri	73	0	0	
GCA_001244315	Vibrio parahaemolyticus	2	0	4	
GCA_001262155	Vibrio coralliirubri	71	0	0	
GCA_001262735	Vibrio harveyi	107	0	4	
GCA_001262745	Vibrio harveyi	121	0	4	
GCA_001263135	Vibrio harveyi	253	0	4	
GCA_001267555	Vibrio parahaemolyticus	94	0	4	
GCA_001267595	Vibrio parahaemolyticus	71	0	4	
GCA_001267615	Vibrio alginolyticus	84	0	4	
GCA_001267625	Vibrio parahaemolyticus	79	0	4	
GCA_001267635	Vibrio parahaemolyticus	76	0	4	
GCA_001267655	Vibrio parahaemolyticus	70	0	4	
GCA_001267965	Vibrio parahaemolyticus	58	0	4	
GCA_001268005	Vibrio parahaemolyticus	83	0	4	
GCA_001268015	Vibrio parahaemolyticus	74	0	4	
GCA_001268045	Vibrio parahaemolyticus	272	0	4	
GCA_001270125	Vibrio parahaemolyticus	106	0	4	
GCA_001270145	Vibrio parahaemolyticus	90	0	4	
GCA_001270155	Vibrio parahaemolyticus	208	0	4	
GCA_001270205	Vibrio alginolyticus	131	0	4	
GCA_001270215	Vibrio parahaemolyticus	102	2	4	
GCA_001270235	Vibrio parahaemolyticus	111	0	4	
GCA_001270285	Vibrio parahaemolyticus	95	0	4	
GCA_001270805	Vibrio parahaemolyticus	20	0	4	rbmD
GCA_001270815	Vibrio parahaemolyticus	14	0	4	
GCA_001270825	Vibrio parahaemolyticus	23	0	4	
GCA_001270835	Vibrio parahaemolyticus	94	0	4	rbmD
GCA_001270885	Vibrio parahaemolyticus	23	0	4	
GCA_001270895	Vibrio parahaemolyticus	23	0	4	
GCA_001270905	Vibrio parahaemolyticus	13	0	4	
GCA_001270945	Vibrio parahaemolyticus	17	0	4	
GCA_001270975	Vibrio parahaemolyticus	19	0	4	
GCA_001273555	Vibrio parahaemolyticus	93	0	4	
GCA_001273575	Vibrio parahaemolyticus	94	0	4	
GCA_001273635	Vibrio parahaemolyticus	153	0	4	
GCA_001273715	Vibrio alginolyticus	55	0	4	
GCA_001277815	Vibrio vulnificus	220	2	4	
GCA_001280625	Vibrio diabolicus	235	3	4	
GCA_001280635	Vibrio parahaemolyticus	74	0	4	
GCA_001280645	Vibrio parahaemolyticus	60	0	4	
GCA_001280655	Vibrio parahaemolyticus	81	0	4	
GCA_001280705	Vibrio parahaemolyticus	162	0	4	
GCA_001280725	Vibrio parahaemolyticus	82	0	4	
GCA_001304775	Vibrio parahaemolyticus	2	0	4	
GCA_001306195	Vibrio splendidus	54	0	0	rbmD
GCA_001306215	Vibrio splendidus	162	1	1	
GCA_001306785	Vibrio alginolyticus	281	0	4	
GCA_001306825	Vibrio alginolyticus	140	3	4	
GCA_001306845	Vibrio alginolyticus	76	0	4	
GCA_001306875	Vibrio alginolyticus	95	0	4	
GCA_001310575	Vibrio owensii	4	3	4	rbmD
GCA_001310695	Vibrio alginolyticus	118	0	0	rbmD
GCA_001310735	Vibrio jasicida	87	0	4	
GCA_001310755	Vibrio alginolyticus	231	0	3	rbmD
GCA_001315185	Vibrio alginolyticus	70	0	4	
GCA_001315205	Vibrio diabolicus	64	2	4	
GCA_001368855	Vibrio crassostreae	173	2	1	
GCA_001368875	Vibrio crassostreae	189	0	0	
GCA_001368895	Vibrio crassostreae	165	0	0	
GCA_001418695	Vibrio furnissii	91	0	0	
GCA_001418705	Vibrio fluvialis	252	0	4	
GCA_001433415	Vibrio parahaemolyticus	3	0	4	
GCA_001433435	Vibrio vulnificus	2	0	4	
GCA_001456255	Vibrio natriegens	2	0	3	
GCA_001469735	Vibrio alginolyticus	5	0	4	
GCA_001471275	Vibrio alginolyticus	2	0	4	
GCA_001471305	Vibrio vulnificus	2	2	4	
GCA_001471415	Vibrio vulnificus	3	2	4	
GCA_001471465	Vibrio vulnificus	4	2	4	
GCA_001471485	Vibrio parahaemolyticus	3	0	4	
GCA_001471575	Vibrio harveyi	2	0	4	
GCA_001486525	Vibrio coralliirubri	17	1	2	
GCA_001497485	Vibrio parahaemolyticus	74	0	4	
GCA_001525585	Vibrio harveyi	2	0	4	
GCA_001525595	Vibrio alginolyticus	3	0	4	
GCA_001541335	Vibrio toranzoniae	165	0	0	
GCA_001541615	Vibrio parahaemolyticus	65	0	4	
GCA_001541625	Vibrio parahaemolyticus	57	0	4	
GCA_001557765	Vibrio splendidus_F	63	0	4	
GCA_001557775	Vibrio jasicida	74	0	4	
GCA_001557855	Vibrio coralliirubri	74	0	0	
GCA_001557875	Vibrio splendidus_F	55	0	4	
GCA_001557945	Vibrio owensii	106	0	4	
GCA_001557965	Vibrio owensii	54	0	4	
GCA_001558015	Vibrio splendidus	85	2	2	
GCA_001558025	Vibrio coralliirubri	57	0	0	
GCA_001558055	Vibrio chagasii	87	0	0	
GCA_001558095	Vibrio jasicida	136	0	4	
GCA_001558415	Vibrio fluvialis	2	0	4	
GCA_001558435	Vibrio harveyi	2	0	4	
GCA_001558495	Vibrio parahaemolyticus	2	0	4	
GCA_001558515	Vibrio vulnificus	2	0	4	
GCA_001559805	Vibrio parahaemolyticus	76	0	4	
GCA_001559885	Vibrio parahaemolyticus	93	0	4	
GCA_001559895	Vibrio parahaemolyticus	31	0	4	
GCA_001584265	Vibrio alginolyticus	135	0	4	
GCA_001584415	Vibrio parahaemolyticus	34	0	4	
GCA_001591065	Vibrio vulnificus	106	0	4	
GCA_001591085	Vibrio natriegens	27	0	4	
GCA_001591125	Vibrio mediterranei	67	0	0	
GCA_001591145	Vibrio harveyi	189	0	4	
GCA_001595565	Vibrio parahaemolyticus	48	0	4	
GCA_001595575	Vibrio parahaemolyticus	72	0	4	
GCA_001597655	Vibrio cidicii	2	0	0	
GCA_001597935	Vibrio cidicii	137	0	0	
GCA_001597945	Vibrio cidicii	113	1	2	
GCA_001597955	Vibrio cidicii	216	0	0	
GCA_001598835	Vibrio fluvialis	42	0	4	
GCA_001601695	Vibrio parahaemolyticus	53	0	4	
GCA_001608505	Vibrio parahaemolyticus	64	0	4	
GCA_001608525	Vibrio parahaemolyticus	41	2	4	
GCA_001608545	Vibrio parahaemolyticus	34	0	4	
GCA_001608575	Vibrio parahaemolyticus	55	0	4	
GCA_001608595	Vibrio parahaemolyticus	34	0	4	
GCA_001608605	Vibrio parahaemolyticus	37	0	4	
GCA_001608615	Vibrio parahaemolyticus	33	0	4	
GCA_001608655	Vibrio parahaemolyticus	28	0	4	
GCA_001608675	Vibrio parahaemolyticus	31	0	4	
GCA_001608685	Vibrio parahaemolyticus	34	0	4	
GCA_001608705	Vibrio parahaemolyticus	42	0	4	
GCA_001608735	Vibrio parahaemolyticus	67	0	4	
GCA_001608755	Vibrio parahaemolyticus	35	0	4	
GCA_001608765	Vibrio parahaemolyticus	34	0	4	
GCA_001608785	Vibrio parahaemolyticus	45	0	4	
GCA_001608815	Vibrio parahaemolyticus	30	0	4	
GCA_001608835	Vibrio parahaemolyticus	47	0	4	
GCA_001608855	Vibrio parahaemolyticus	40	0	4	
GCA_001608865	Vibrio parahaemolyticus	34	0	4	
GCA_001608895	Vibrio parahaemolyticus	48	0	4	
GCA_001608915	Vibrio parahaemolyticus	64	0	4	
GCA_001608935	Vibrio parahaemolyticus	38	0	4	
GCA_001608945	Vibrio parahaemolyticus	32	0	4	
GCA_001608975	Vibrio parahaemolyticus	72	0	4	
GCA_001608995	Vibrio parahaemolyticus	77	0	4	
GCA_001609015	Vibrio parahaemolyticus	47	0	4	
GCA_001609025	Vibrio parahaemolyticus	53	0	4	
GCA_001609055	Vibrio parahaemolyticus	37	0	4	
GCA_001609075	Vibrio parahaemolyticus	31	0	4	
GCA_001609095	Vibrio parahaemolyticus	33	0	4	
GCA_001609105	Vibrio parahaemolyticus	41	0	4	
GCA_001609135	Vibrio parahaemolyticus	47	0	4	
GCA_001609155	Vibrio parahaemolyticus	73	0	4	
GCA_001609175	Vibrio parahaemolyticus	51	3	4	
GCA_001609185	Vibrio parahaemolyticus	65	0	4	
GCA_001609345	Vibrio parahaemolyticus	47	0	4	
GCA_001609375	Vibrio parahaemolyticus	52	0	4	
GCA_001609395	Vibrio parahaemolyticus	30	0	4	
GCA_001609415	Vibrio parahaemolyticus	34	0	4	
GCA_001609435	Vibrio parahaemolyticus	49	0	4	
GCA_001609445	Vibrio parahaemolyticus	51	3	4	
GCA_001609475	Vibrio parahaemolyticus	80	0	4	
GCA_001609495	Vibrio parahaemolyticus	36	0	4	
GCA_001609515	Vibrio parahaemolyticus	32	0	4	
GCA_001609525	Vibrio parahaemolyticus	41	0	4	
GCA_001609555	Vibrio parahaemolyticus	35	2	4	
GCA_001609575	Vibrio parahaemolyticus	44	0	4	
GCA_001609595	Vibrio parahaemolyticus	44	0	4	
GCA_001609615	Vibrio parahaemolyticus	68	0	4	
GCA_001609635	Vibrio parahaemolyticus	31	0	4	
GCA_001609655	Vibrio parahaemolyticus	29	0	4	
GCA_001609675	Vibrio parahaemolyticus	38	0	4	
GCA_001609695	Vibrio parahaemolyticus	36	0	4	
GCA_001609715	Vibrio parahaemolyticus	49	0	4	
GCA_001610595	Vibrio parahaemolyticus	40	0	4	
GCA_001617475	Vibrio alginolyticus	62	0	4	
GCA_001625175	Vibrio jasicida	442	0	4	
GCA_001633825	Vibrio parahaemolyticus	35	0	4	
GCA_001633835	Vibrio parahaemolyticus	44	0	4	
GCA_001633845	Vibrio parahaemolyticus	35	0	4	
GCA_001633855	Vibrio parahaemolyticus	39	0	4	
GCA_001633905	Vibrio parahaemolyticus	45	0	4	
GCA_001633915	Vibrio parahaemolyticus	69	0	4	
GCA_001633935	Vibrio parahaemolyticus	112	0	4	
GCA_001633955	Vibrio parahaemolyticus	104	0	4	
GCA_001633985	Vibrio parahaemolyticus	40	0	4	
GCA_001633995	Vibrio parahaemolyticus	40	0	4	
GCA_001634015	Vibrio parahaemolyticus	52	0	4	
GCA_001634035	Vibrio parahaemolyticus	80	0	4	
GCA_001634105	Vibrio parahaemolyticus	34	0	4	
GCA_001634125	Vibrio parahaemolyticus	47	0	4	
GCA_001634135	Vibrio parahaemolyticus	42	0	4	
GCA_001634165	Vibrio parahaemolyticus	49	0	4	
GCA_001634185	Vibrio parahaemolyticus	35	0	4	
GCA_001634205	Vibrio parahaemolyticus	35	0	4	
GCA_001634215	Vibrio parahaemolyticus	35	0	4	
GCA_001634245	Vibrio parahaemolyticus	34	0	4	
GCA_001636035	Vibrio parahaemolyticus	3	0	4	
GCA_001653775	Vibrio vulnificus	2	0	4	
GCA_001675245	Vibrio vulnificus	3	0	4	
GCA_001675855	Vibrio cyclitrophicus	49	0	1	
GCA_001675865	Vibrio lentus	38	0	3	rbmD
GCA_001675875	Vibrio cyclitrophicus	93	0	0	
GCA_001675885	Vibrio cyclitrophicus	65	0	0	
GCA_001675955	Vibrio lentus	72	0	0	
GCA_001675965	Vibrio cyclitrophicus	63	0	0	
GCA_001676015	Vibrio splendidus	43	0	0	
GCA_001677275	Vibrio breoganii	3	0	0	
GCA_001679745	Vibrio alginolyticus	2	0	4	
GCA_001680025	Vibrio natriegens	2	0	4	
GCA_001680045	Vibrio natriegens	2	1	4	
GCA_001680065	Vibrio natriegens	2	0	4	
GCA_001680085	Vibrio natriegens	2	2	4	
GCA_001682175	Vibrio parahaemolyticus	2	2	4	
GCA_001685465	Vibrio scophthalmi	5	2	0	
GCA_001687805	Vibrio scophthalmi	4	0	3	rbmEF,rbmD
GCA_001691155	Vibrio sp000287055	1041	0	0	
GCA_001691175	Vibrio cyclitrophicus	88	0	0	
GCA_001691185	Vibrio diabolicus	179	0	4	
GCA_001691195	Vibrio lentus	353	0	0	
GCA_001691235	Vibrio crassostreae_C	142	0	0	
GCA_001691275	Vibrio splendidus	162	0	0	
GCA_001691285	Vibrio breoganii	621	0	0	
GCA_001695575	Vibrio europaeus	10	1	4	rbmEF,rbmD
GCA_001695935	Vibrio parahaemolyticus	76	0	4	
GCA_001695945	Vibrio parahaemolyticus	60	0	4	
GCA_001695955	Vibrio parahaemolyticus	66	0	4	
GCA_001695995	Vibrio parahaemolyticus	61	0	4	
GCA_001696005	Vibrio parahaemolyticus	64	0	4	
GCA_001696015	Vibrio parahaemolyticus	72	0	4	
GCA_001696055	Vibrio parahaemolyticus	64	0	4	
GCA_001696065	Vibrio parahaemolyticus	37	3	4	
GCA_001696085	Vibrio parahaemolyticus	61	0	4	
GCA_001696115	Vibrio parahaemolyticus	88	0	4	
GCA_001696135	Vibrio parahaemolyticus	81	0	4	
GCA_001696145	Vibrio parahaemolyticus	46	0	4	
GCA_001696155	Vibrio parahaemolyticus	505	0	4	
GCA_001696165	Vibrio parahaemolyticus	60	0	4	
GCA_001696215	Vibrio parahaemolyticus	60	0	4	
GCA_001696225	Vibrio parahaemolyticus	85	0	4	
GCA_001700835	Vibrio parahaemolyticus	5	3	4	
GCA_001704915	Vibrio parahaemolyticus	550	0	4	
GCA_001707995	Vibrio parahaemolyticus	57	0	4	
GCA_001718025	Vibrio harveyi	66	0	4	
GCA_001720365	Vibrio parahaemolyticus	56	0	4	
GCA_001723385	Vibrio scophthalmi	7	0	3	rbmEF,rbmD
GCA_001726165	Vibrio parahaemolyticus	95	0	4	
GCA_001726175	Vibrio parahaemolyticus	158	0	4	
GCA_001726185	Vibrio parahaemolyticus	119	0	4	
GCA_001726195	Vibrio parahaemolyticus	138	0	4	
GCA_001726245	Vibrio parahaemolyticus	116	0	4	
GCA_001726255	Vibrio parahaemolyticus	161	0	4	
GCA_001726265	Vibrio parahaemolyticus	107	0	4	
GCA_001726275	Vibrio parahaemolyticus	100	0	4	
GCA_001726325	Vibrio parahaemolyticus	104	0	4	
GCA_001726335	Vibrio parahaemolyticus	134	0	4	
GCA_001726345	Vibrio parahaemolyticus	114	0	4	
GCA_001726355	Vibrio parahaemolyticus	79	3	4	
GCA_001726405	Vibrio parahaemolyticus	131	0	4	
GCA_001726415	Vibrio parahaemolyticus	132	0	4	
GCA_001726435	Vibrio parahaemolyticus	94	0	4	
GCA_001726445	Vibrio parahaemolyticus	105	0	4	
GCA_001726485	Vibrio parahaemolyticus	105	0	4	
GCA_001726495	Vibrio parahaemolyticus	101	0	4	
GCA_001726515	Vibrio parahaemolyticus	150	0	4	
GCA_001726535	Vibrio parahaemolyticus	105	0	4	
GCA_001726565	Vibrio parahaemolyticus	86	0	4	
GCA_001726575	Vibrio parahaemolyticus	101	0	4	
GCA_001726595	Vibrio parahaemolyticus	96	0	4	
GCA_001726615	Vibrio parahaemolyticus	100	0	4	
GCA_001726645	Vibrio parahaemolyticus	101	0	4	
GCA_001726655	Vibrio parahaemolyticus	101	0	4	
GCA_001726685	Vibrio parahaemolyticus	128	0	4	
GCA_001726695	Vibrio parahaemolyticus	126	0	4	
GCA_001726725	Vibrio parahaemolyticus	126	0	4	
GCA_001726735	Vibrio parahaemolyticus	102	0	4	
GCA_001726755	Vibrio parahaemolyticus	111	0	4	
GCA_001726775	Vibrio parahaemolyticus	100	0	4	
GCA_001726805	Vibrio parahaemolyticus	87	0	4	
GCA_001726815	Vibrio parahaemolyticus	82	0	4	
GCA_001726845	Vibrio parahaemolyticus	76	0	4	
GCA_001726855	Vibrio parahaemolyticus	111	0	4	
GCA_001726885	Vibrio parahaemolyticus	116	0	4	
GCA_001726895	Vibrio parahaemolyticus	90	0	4	
GCA_001726915	Vibrio parahaemolyticus	103	0	4	
GCA_001726935	Vibrio parahaemolyticus	111	0	4	
GCA_001726965	Vibrio parahaemolyticus	102	0	4	
GCA_001726975	Vibrio parahaemolyticus	93	0	4	
GCA_001726985	Vibrio parahaemolyticus	96	0	4	
GCA_001727025	Vibrio parahaemolyticus	93	0	4	
GCA_001727045	Vibrio parahaemolyticus	150	0	4	
GCA_001727055	Vibrio parahaemolyticus	96	0	4	
GCA_001727065	Vibrio parahaemolyticus	95	0	4	
GCA_001727105	Vibrio parahaemolyticus	115	0	4	
GCA_001727115	Vibrio parahaemolyticus	114	0	4	
GCA_001727125	Vibrio parahaemolyticus	132	0	4	
GCA_001727155	Vibrio parahaemolyticus	141	0	4	
GCA_001727185	Vibrio parahaemolyticus	139	0	4	
GCA_001727195	Vibrio parahaemolyticus	127	0	4	
GCA_001727205	Vibrio parahaemolyticus	148	0	4	
GCA_001727245	Vibrio parahaemolyticus	172	0	4	
GCA_001727265	Vibrio parahaemolyticus	148	0	4	
GCA_001727275	Vibrio parahaemolyticus	181	0	4	
GCA_001727295	Vibrio parahaemolyticus	156	0	4	
GCA_001727305	Vibrio parahaemolyticus	152	0	4	
GCA_001727345	Vibrio parahaemolyticus	149	0	4	
GCA_001727365	Vibrio parahaemolyticus	135	0	4	
GCA_001727385	Vibrio parahaemolyticus	118	0	4	
GCA_001727395	Vibrio parahaemolyticus	294	0	4	
GCA_001727405	Vibrio parahaemolyticus	174	0	4	
GCA_001727415	Vibrio parahaemolyticus	84	3	4	
GCA_001727465	Vibrio parahaemolyticus	105	0	4	
GCA_001727475	Vibrio parahaemolyticus	98	3	4	
GCA_001727485	Vibrio parahaemolyticus	142	0	4	
GCA_001727505	Vibrio parahaemolyticus	117	0	4	
GCA_001727545	Vibrio parahaemolyticus	79	0	4	
GCA_001727565	Vibrio parahaemolyticus	126	0	4	
GCA_001727575	Vibrio parahaemolyticus	115	0	4	
GCA_001727585	Vibrio parahaemolyticus	118	0	4	
GCA_001727625	Vibrio parahaemolyticus	110	0	4	
GCA_001727645	Vibrio parahaemolyticus	139	0	4	
GCA_001727655	Vibrio parahaemolyticus	93	0	4	
GCA_001727665	Vibrio parahaemolyticus	118	0	4	
GCA_001727705	Vibrio parahaemolyticus	123	0	4	
GCA_001727725	Vibrio parahaemolyticus	94	0	4	
GCA_001727735	Vibrio parahaemolyticus	120	0	4	
GCA_001727745	Vibrio parahaemolyticus	155	0	4	
GCA_001727775	Vibrio parahaemolyticus	118	0	4	
GCA_001727805	Vibrio parahaemolyticus	138	0	4	
GCA_001727815	Vibrio parahaemolyticus	150	0	4	
GCA_001727825	Vibrio parahaemolyticus	133	0	4	
GCA_001727845	Vibrio parahaemolyticus	96	0	4	
GCA_001727885	Vibrio parahaemolyticus	114	0	4	
GCA_001727895	Vibrio parahaemolyticus	122	0	4	
GCA_001727915	Vibrio parahaemolyticus	129	3	4	
GCA_001727925	Vibrio parahaemolyticus	108	3	4	
GCA_001727965	Vibrio parahaemolyticus	111	0	4	
GCA_001727975	Vibrio parahaemolyticus	114	3	4	
GCA_001727995	Vibrio parahaemolyticus	115	0	4	
GCA_001728005	Vibrio parahaemolyticus	121	0	4	
GCA_001728045	Vibrio parahaemolyticus	103	3	4	
GCA_001728065	Vibrio parahaemolyticus	108	3	4	
GCA_001728085	Vibrio parahaemolyticus	89	0	4	
GCA_001728095	Vibrio parahaemolyticus	102	0	4	
GCA_001728125	Vibrio parahaemolyticus	135	0	4	
GCA_001728135	Vibrio parahaemolyticus	130	0	4	
GCA_001728155	Vibrio parahaemolyticus	146	0	4	
GCA_001728175	Vibrio parahaemolyticus	133	0	4	
GCA_001728205	Vibrio parahaemolyticus	84	0	4	
GCA_001728215	Vibrio parahaemolyticus	80	3	4	
GCA_001728235	Vibrio parahaemolyticus	123	3	4	
GCA_001728255	Vibrio parahaemolyticus	143	0	4	
GCA_001728275	Vibrio parahaemolyticus	117	0	4	
GCA_001728295	Vibrio parahaemolyticus	134	0	4	
GCA_001728325	Vibrio parahaemolyticus	152	0	4	
GCA_001728335	Vibrio parahaemolyticus	136	2	4	
GCA_001728345	Vibrio parahaemolyticus	109	0	4	
GCA_001728375	Vibrio parahaemolyticus	142	3	4	rbmEF
GCA_001728405	Vibrio parahaemolyticus	112	0	4	
GCA_001728415	Vibrio parahaemolyticus	126	0	4	
GCA_001728425	Vibrio parahaemolyticus	95	0	4	
GCA_001728465	Vibrio parahaemolyticus	112	0	4	
GCA_001728485	Vibrio parahaemolyticus	105	0	4	
GCA_001728495	Vibrio parahaemolyticus	106	0	4	
GCA_001728505	Vibrio parahaemolyticus	97	0	4	
GCA_001728545	Vibrio parahaemolyticus	114	0	4	
GCA_001728565	Vibrio parahaemolyticus	128	0	4	
GCA_001728575	Vibrio parahaemolyticus	169	0	4	
GCA_001728585	Vibrio parahaemolyticus	122	0	4	
GCA_001728625	Vibrio parahaemolyticus	108	0	4	
GCA_001728645	Vibrio parahaemolyticus	104	2	4	
GCA_001728655	Vibrio parahaemolyticus	147	0	4	
GCA_001728665	Vibrio parahaemolyticus	131	0	4	
GCA_001728695	Vibrio parahaemolyticus	119	0	4	
GCA_001728725	Vibrio parahaemolyticus	110	0	4	
GCA_001728745	Vibrio parahaemolyticus	125	0	4	
GCA_001728755	Vibrio parahaemolyticus	93	0	4	
GCA_001758605	Vibrio parahaemolyticus	2	0	4	
GCA_001856035	Vibrio parahaemolyticus	54	0	4	
GCA_001856105	Vibrio parahaemolyticus	193	3	4	
GCA_001858245	Vibrio rotiferianus	47	0	4	
GCA_001874155	Vibrio sp001874155	26	0	0	
GCA_001879585	Vibrio parahaemolyticus	3	0	4	
GCA_001887055	Vibrio parahaemolyticus	2	0	4	
GCA_001889185	Vibrio vulnificus	89	0	4	
GCA_001890465	Vibrio vulnificus	106	2	4	
GCA_001890485	Vibrio vulnificus	132	0	4	
GCA_001890525	Vibrio vulnificus	73	2	4	
GCA_001890545	Vibrio vulnificus	82	1	4	
GCA_001890565	Vibrio vulnificus	47	0	4	
GCA_001890575	Vibrio vulnificus	101	0	4	
GCA_001890585	Vibrio vulnificus	94	0	4	
GCA_001890625	Vibrio vulnificus	99	0	4	rbmEF
GCA_001890645	Vibrio vulnificus	84	0	4	
GCA_001890655	Vibrio vulnificus	49	0	4	rbmEF
GCA_001895345	Vibrio parahaemolyticus	61	0	4	
GCA_001895355	Vibrio parahaemolyticus	49	0	4	
GCA_001895365	Vibrio parahaemolyticus	43	0	4	
GCA_001895425	Vibrio parahaemolyticus	51	0	4	
GCA_001895435	Vibrio parahaemolyticus	65	0	4	
GCA_001895445	Vibrio parahaemolyticus	47	0	4	
